module,method,scope,metric,value
aspect_detector,BERT_pair,overall,precision,0.8070175438596491
aspect_detector,BERT_pair,overall,recall,0.5822784810126582
aspect_detector,BERT_pair,overall,f1,0.6764705882352942
aspect_detector,BERT_pair,overall,accuracy,0.9427083333333334
aspect_detector,BERT_pair,acoperire_rute,precision,0.0
aspect_detector,BERT_pair,acoperire_rute,recall,0.0
aspect_detector,BERT_pair,acoperire_rute,f1,0.0
aspect_detector,BERT_pair,aglomeratie,precision,0.6666666666666666
aspect_detector,BERT_pair,aglomeratie,recall,0.6666666666666666
aspect_detector,BERT_pair,aglomeratie,f1,0.6666666666666666
aspect_detector,BERT_pair,confort_termic,precision,0.8333333333333334
aspect_detector,BERT_pair,confort_termic,recall,0.8333333333333334
aspect_detector,BERT_pair,confort_termic,f1,0.8333333333333334
aspect_detector,BERT_pair,controlori,precision,0.8
aspect_detector,BERT_pair,controlori,recall,1.0
aspect_detector,BERT_pair,controlori,f1,0.8888888888888888
aspect_detector,BERT_pair,curatenie,precision,0.6666666666666666
aspect_detector,BERT_pair,curatenie,recall,1.0
aspect_detector,BERT_pair,curatenie,f1,0.8
aspect_detector,BERT_pair,frecventa,precision,1.0
aspect_detector,BERT_pair,frecventa,recall,0.8333333333333334
aspect_detector,BERT_pair,frecventa,f1,0.9090909090909091
aspect_detector,BERT_pair,informare_calatori,precision,0.0
aspect_detector,BERT_pair,informare_calatori,recall,0.0
aspect_detector,BERT_pair,informare_calatori,f1,0.0
aspect_detector,BERT_pair,infrastructura_statii,precision,1.0
aspect_detector,BERT_pair,infrastructura_statii,recall,1.0
aspect_detector,BERT_pair,infrastructura_statii,f1,1.0
aspect_detector,BERT_pair,organizare,precision,0.6666666666666666
aspect_detector,BERT_pair,organizare,recall,0.2857142857142857
aspect_detector,BERT_pair,organizare,f1,0.4
aspect_detector,BERT_pair,pret,precision,1.0
aspect_detector,BERT_pair,pret,recall,0.75
aspect_detector,BERT_pair,pret,f1,0.8571428571428571
aspect_detector,BERT_pair,punctualitate,precision,1.0
aspect_detector,BERT_pair,punctualitate,recall,0.25
aspect_detector,BERT_pair,punctualitate,f1,0.4
aspect_detector,BERT_pair,relatii_clienti,precision,1.0
aspect_detector,BERT_pair,relatii_clienti,recall,0.25
aspect_detector,BERT_pair,relatii_clienti,f1,0.4
aspect_detector,BERT_pair,siguranta,precision,1.0
aspect_detector,BERT_pair,siguranta,recall,0.1111111111111111
aspect_detector,BERT_pair,siguranta,f1,0.2
aspect_detector,BERT_pair,soferi_vatmani,precision,0.9230769230769231
aspect_detector,BERT_pair,soferi_vatmani,recall,0.9230769230769231
aspect_detector,BERT_pair,soferi_vatmani,f1,0.9230769230769231
aspect_detector,BERT_pair,stare_vehicule,precision,0.0
aspect_detector,BERT_pair,stare_vehicule,recall,0.0
aspect_detector,BERT_pair,stare_vehicule,f1,0.0
aspect_detector,BERT_pair,validare_bilete,precision,0.75
aspect_detector,BERT_pair,validare_bilete,recall,1.0
aspect_detector,BERT_pair,validare_bilete,f1,0.8571428571428571
sentiment_classifier,BERT_pair,overall,f1_macro,0.8771672771672772
sentiment_classifier,BERT_pair,overall,f1_weighted,0.9344832382807067
sentiment_classifier,BERT_pair,overall,accuracy,0.9367088607594937
sentiment_classifier,BERT_pair,overall,precision_macro,0.9166666666666666
sentiment_classifier,BERT_pair,overall,recall_macro,0.85
sentiment_classifier,BERT_pair,acoperire_rute,f1_macro,1.0
sentiment_classifier,BERT_pair,aglomeratie,f1_macro,1.0
sentiment_classifier,BERT_pair,confort_termic,f1_macro,0.5555555555555555
sentiment_classifier,BERT_pair,controlori,f1_macro,0.7333333333333334
sentiment_classifier,BERT_pair,curatenie,f1_macro,1.0
sentiment_classifier,BERT_pair,frecventa,f1_macro,1.0
sentiment_classifier,BERT_pair,informare_calatori,f1_macro,1.0
sentiment_classifier,BERT_pair,infrastructura_statii,f1_macro,1.0
sentiment_classifier,BERT_pair,organizare,f1_macro,1.0
sentiment_classifier,BERT_pair,pret,f1_macro,1.0
sentiment_classifier,BERT_pair,punctualitate,f1_macro,1.0
sentiment_classifier,BERT_pair,relatii_clienti,f1_macro,1.0
sentiment_classifier,BERT_pair,siguranta,f1_macro,0.8412698412698413
sentiment_classifier,BERT_pair,soferi_vatmani,f1_macro,0.6333333333333333
sentiment_classifier,BERT_pair,stare_vehicule,f1_macro,1.0
sentiment_classifier,BERT_pair,validare_bilete,f1_macro,1.0
pipeline,BERT_pair_pipeline,end_to_end,aspect_precision,0.8070175438596491
pipeline,BERT_pair_pipeline,end_to_end,aspect_recall,0.5822784810126582
pipeline,BERT_pair_pipeline,end_to_end,aspect_f1,0.6764705882352942
pipeline,BERT_pair_pipeline,end_to_end,tuple_precision,0.7017543859649122
pipeline,BERT_pair_pipeline,end_to_end,tuple_recall,0.5063291139240507
pipeline,BERT_pair_pipeline,end_to_end,tuple_f1,0.5882352941176471
pipeline,keyword_lexicon_baseline,end_to_end,aspect_precision,0.532608695652174
pipeline,keyword_lexicon_baseline,end_to_end,aspect_recall,0.620253164556962
pipeline,keyword_lexicon_baseline,end_to_end,aspect_f1,0.5730994152046783
pipeline,keyword_lexicon_baseline,end_to_end,tuple_precision,0.2391304347826087
pipeline,keyword_lexicon_baseline,end_to_end,tuple_recall,0.27848101265822783
pipeline,keyword_lexicon_baseline,end_to_end,tuple_f1,0.2573099415204678
